time,cloud_cover (%),wind_speed_100m (km/h)
2023-01-01T00:00,64,43.7
2023-01-01T01:00,100,40.8
2023-01-01T02:00,33,43.3
2023-01-01T03:00,54,48.9
2023-01-01T04:00,38,49.3
2023-01-01T05:00,30,47
2023-01-01T06:00,31,46.6
2023-01-01T07:00,32,46.1
2023-01-01T08:00,30,43.3
2023-01-01T09:00,31,44.3
2023-01-01T10:00,32,43.5
2023-01-01T11:00,34,40.3
2023-01-01T12:00,48,38.6
2023-01-01T13:00,80,37.8
2023-01-01T14:00,100,40.6
2023-01-01T15:00,100,38.6
2023-01-01T16:00,96,35
2023-01-01T17:00,90,32.5
2023-01-01T18:00,95,30
2023-01-01T19:00,94,30.1
2023-01-01T20:00,100,23.8
2023-01-01T21:00,100,19.2
2023-01-01T22:00,100,14.8
2023-01-01T23:00,100,14.3
2023-01-02T00:00,100,11.1
2023-01-02T01:00,90,11.2
2023-01-02T02:00,88,15.3
2023-01-02T03:00,76,22
2023-01-02T04:00,92,26.3
2023-01-02T05:00,48,27.7
2023-01-02T06:00,60,28.5
2023-01-02T07:00,100,29.4
2023-01-02T08:00,100,27.1
2023-01-02T09:00,82,25.1
2023-01-02T10:00,76,25.2
2023-01-02T11:00,58,21.3
2023-01-02T12:00,95,22.2
2023-01-02T13:00,39,21.7
2023-01-02T14:00,32,21.8
2023-01-02T15:00,3,21.7
2023-01-02T16:00,0,21.6
2023-01-02T17:00,0,22.1
2023-01-02T18:00,1,22
2023-01-02T19:00,4,22.1
2023-01-02T20:00,5,22.1
2023-01-02T21:00,0,22.3
2023-01-02T22:00,0,21.2
2023-01-02T23:00,0,20.6
2023-01-03T00:00,0,23.1
2023-01-03T01:00,0,22.1
2023-01-03T02:00,0,20.5
2023-01-03T03:00,2,23.4
2023-01-03T04:00,22,27.5
2023-01-03T05:00,92,29.8
2023-01-03T06:00,15,31
2023-01-03T07:00,20,31
2023-01-03T08:00,100,31.2
2023-01-03T09:00,46,33.8
2023-01-03T10:00,100,37.5
2023-01-03T11:00,100,41.3
2023-01-03T12:00,100,44.7
2023-01-03T13:00,100,44.8
2023-01-03T14:00,100,49.6
2023-01-03T15:00,100,49.4
2023-01-03T16:00,100,49.8
2023-01-03T17:00,100,52.1
2023-01-03T18:00,100,53.3
2023-01-03T19:00,100,57.6
2023-01-03T20:00,100,56.8
2023-01-03T21:00,100,55
2023-01-03T22:00,100,53.6
2023-01-03T23:00,100,50.7
2023-01-04T00:00,100,56.4
2023-01-04T01:00,100,58
2023-01-04T02:00,100,58.6
2023-01-04T03:00,100,57
2023-01-04T04:00,100,55.6
2023-01-04T05:00,100,58.1
2023-01-04T06:00,100,57.8
2023-01-04T07:00,97,57.9
2023-01-04T08:00,100,59
2023-01-04T09:00,46,60.7
2023-01-04T10:00,55,59.4
2023-01-04T11:00,48,55.4
2023-01-04T12:00,40,52.8
2023-01-04T13:00,35,50.7
2023-01-04T14:00,38,51.1
2023-01-04T15:00,25,50.4
2023-01-04T16:00,10,49.6
2023-01-04T17:00,45,47.4
2023-01-04T18:00,49,45.2
2023-01-04T19:00,40,43.7
2023-01-04T20:00,31,42.2
2023-01-04T21:00,26,40.2
2023-01-04T22:00,51,39.1
2023-01-04T23:00,22,38.9
2023-01-05T00:00,50,41
2023-01-05T01:00,38,44.2
2023-01-05T02:00,53,44.1
2023-01-05T03:00,23,41.8
2023-01-05T04:00,15,37.9
2023-01-05T05:00,29,35
2023-01-05T06:00,28,32.6
2023-01-05T07:00,30,31.3
2023-01-05T08:00,28,30.3
2023-01-05T09:00,39,27.1
2023-01-05T10:00,59,28.3
2023-01-05T11:00,100,23.7
2023-01-05T12:00,100,25
2023-01-05T13:00,100,29.3
2023-01-05T14:00,41,29.5
2023-01-05T15:00,100,30.8
2023-01-05T16:00,100,32.6
2023-01-05T17:00,53,34.9
2023-01-05T18:00,54,38.4
2023-01-05T19:00,56,38.2
2023-01-05T20:00,100,39
2023-01-05T21:00,100,41.4
2023-01-05T22:00,100,43.7
2023-01-05T23:00,100,47.7
2023-01-06T00:00,100,51.8
2023-01-06T01:00,100,51.9
2023-01-06T02:00,100,46.8
2023-01-06T03:00,100,50.8
2023-01-06T04:00,0,37.4
2023-01-06T05:00,4,37
2023-01-06T06:00,0,36.9
2023-01-06T07:00,0,35.1
2023-01-06T08:00,0,34.6
2023-01-06T09:00,4,34.1
2023-01-06T10:00,29,32.7
2023-01-06T11:00,47,32.6
2023-01-06T12:00,64,32.1
2023-01-06T13:00,30,24.4
2023-01-06T14:00,30,31.4
2023-01-06T15:00,52,33.1
2023-01-06T16:00,91,32.9
2023-01-06T17:00,20,30.9
2023-01-06T18:00,100,32.6
2023-01-06T19:00,100,33.4
2023-01-06T20:00,100,38.9
2023-01-06T21:00,100,40.7
2023-01-06T22:00,100,44.7
2023-01-06T23:00,100,44.4
2023-01-07T00:00,100,45.9
2023-01-07T01:00,100,45.7
2023-01-07T02:00,100,46.2
2023-01-07T03:00,100,47.8
2023-01-07T04:00,100,48
2023-01-07T05:00,100,48.3
2023-01-07T06:00,100,48.7
2023-01-07T07:00,99,52.1
2023-01-07T08:00,100,53.1
2023-01-07T09:00,100,57.3
2023-01-07T10:00,100,59.4
2023-01-07T11:00,100,59.2
2023-01-07T12:00,100,56.2
2023-01-07T13:00,100,51.5
2023-01-07T14:00,100,51.6
2023-01-07T15:00,100,49.3
2023-01-07T16:00,100,47.1
2023-01-07T17:00,56,50
2023-01-07T18:00,97,50.3
2023-01-07T19:00,14,53.8
2023-01-07T20:00,14,50.4
2023-01-07T21:00,24,50.3
2023-01-07T22:00,3,45.5
2023-01-07T23:00,4,47.7
2023-01-08T00:00,10,46.9
2023-01-08T01:00,7,48.5
2023-01-08T02:00,14,46.2
2023-01-08T03:00,32,47.7
2023-01-08T04:00,32,48.1
2023-01-08T05:00,57,43.3
2023-01-08T06:00,27,42.3
2023-01-08T07:00,69,41.7
2023-01-08T08:00,11,42
2023-01-08T09:00,14,41.7
2023-01-08T10:00,15,42.5
2023-01-08T11:00,53,37
2023-01-08T12:00,96,38.7
2023-01-08T13:00,92,43.9
2023-01-08T14:00,98,45.1
2023-01-08T15:00,100,43.8
2023-01-08T16:00,100,41.3
2023-01-08T17:00,100,39.8
2023-01-08T18:00,100,38.5
2023-01-08T19:00,100,34.9
2023-01-08T20:00,67,33.4
2023-01-08T21:00,24,32.4
2023-01-08T22:00,0,33.9
2023-01-08T23:00,1,29.9
2023-01-09T00:00,8,27.6
2023-01-09T01:00,74,28.7
2023-01-09T02:00,79,24.6
2023-01-09T03:00,24,22.1
2023-01-09T04:00,34,26
2023-01-09T05:00,62,28.8
2023-01-09T06:00,31,30.8
2023-01-09T07:00,66,31.6
2023-01-09T08:00,57,30.7
2023-01-09T09:00,10,31.7
2023-01-09T10:00,7,31.4
2023-01-09T11:00,83,28.5
2023-01-09T12:00,20,30.3
2023-01-09T13:00,29,33.8
2023-01-09T14:00,20,37.8
2023-01-09T15:00,6,34.4
2023-01-09T16:00,7,36.5
2023-01-09T17:00,1,35.6
2023-01-09T18:00,15,37.3
2023-01-09T19:00,7,38.6
2023-01-09T20:00,4,36.6
2023-01-09T21:00,82,38.3
2023-01-09T22:00,24,44.4
2023-01-09T23:00,20,45
2023-01-10T00:00,5,40.8
2023-01-10T01:00,20,36.6
2023-01-10T02:00,21,33.6
2023-01-10T03:00,16,33.3
2023-01-10T04:00,30,31.7
2023-01-10T05:00,34,31.1
2023-01-10T06:00,64,31.4
2023-01-10T07:00,85,30.5
2023-01-10T08:00,90,31.9
